stage,variant,scope,cv_scheme,feature_set,n,n_pos,AUC,PR_AUC,CP16_single:xpr_fp_db_Recall_at_FPR_1pct,CP16_single:xpr_fp_db_Recall_at_FPR_5pct,CP16_single:xpr_fp_db_Recall_at_FPR_10pct,CP16_single:xpr_fp_db_LoS_FPR_at_NLoS_recall_80pct,CP16_single:xpr_fp_db_LoS_FPR_at_NLoS_recall_90pct,CP16_single:xpr_fp_db_LoS_FPR_at_NLoS_recall_95pct,CP16_single:xpr_late_db_Recall_at_FPR_1pct,CP16_single:xpr_late_db_Recall_at_FPR_5pct,CP16_single:xpr_late_db_Recall_at_FPR_10pct,CP16_single:xpr_late_db_LoS_FPR_at_NLoS_recall_80pct,CP16_single:xpr_late_db_LoS_FPR_at_NLoS_recall_90pct,CP16_single:xpr_late_db_LoS_FPR_at_NLoS_recall_95pct,CP16_single:xpr_all_db_Recall_at_FPR_1pct,CP16_single:xpr_all_db_Recall_at_FPR_5pct,CP16_single:xpr_all_db_Recall_at_FPR_10pct,CP16_single:xpr_all_db_LoS_FPR_at_NLoS_recall_80pct,CP16_single:xpr_all_db_LoS_FPR_at_NLoS_recall_90pct,CP16_single:xpr_all_db_LoS_FPR_at_NLoS_recall_95pct,CP16_single:s3_fp_Recall_at_FPR_1pct,CP16_single:s3_fp_Recall_at_FPR_5pct,CP16_single:s3_fp_Recall_at_FPR_10pct,CP16_single:s3_fp_LoS_FPR_at_NLoS_recall_80pct,CP16_single:s3_fp_LoS_FPR_at_NLoS_recall_90pct,CP16_single:s3_fp_LoS_FPR_at_NLoS_recall_95pct,CP16_single:s3_late_Recall_at_FPR_1pct,CP16_single:s3_late_Recall_at_FPR_5pct,CP16_single:s3_late_Recall_at_FPR_10pct,CP16_single:s3_late_LoS_FPR_at_NLoS_recall_80pct,CP16_single:s3_late_LoS_FPR_at_NLoS_recall_90pct,CP16_single:s3_late_LoS_FPR_at_NLoS_recall_95pct,CP16_single:s3_all_Recall_at_FPR_1pct,CP16_single:s3_all_Recall_at_FPR_5pct,CP16_single:s3_all_Recall_at_FPR_10pct,CP16_single:s3_all_LoS_FPR_at_NLoS_recall_80pct,CP16_single:s3_all_LoS_FPR_at_NLoS_recall_90pct,CP16_single:s3_all_LoS_FPR_at_NLoS_recall_95pct,CP16_single:delta_tau_l_given_r_s_Recall_at_FPR_1pct,CP16_single:delta_tau_l_given_r_s_Recall_at_FPR_5pct,CP16_single:delta_tau_l_given_r_s_Recall_at_FPR_10pct,CP16_single:delta_tau_l_given_r_s_LoS_FPR_at_NLoS_recall_80pct,CP16_single:delta_tau_l_given_r_s_LoS_FPR_at_NLoS_recall_90pct,CP16_single:delta_tau_l_given_r_s_LoS_FPR_at_NLoS_recall_95pct,CP16_single:delta_p_l_given_r_db_Recall_at_FPR_1pct,CP16_single:delta_p_l_given_r_db_Recall_at_FPR_5pct,CP16_single:delta_p_l_given_r_db_Recall_at_FPR_10pct,CP16_single:delta_p_l_given_r_db_LoS_FPR_at_NLoS_recall_80pct,CP16_single:delta_p_l_given_r_db_LoS_FPR_at_NLoS_recall_90pct,CP16_single:delta_p_l_given_r_db_LoS_FPR_at_NLoS_recall_95pct,CP16_single:f_r_fp_Recall_at_FPR_1pct,CP16_single:f_r_fp_Recall_at_FPR_5pct,CP16_single:f_r_fp_Recall_at_FPR_10pct,CP16_single:f_r_fp_LoS_FPR_at_NLoS_recall_80pct,CP16_single:f_r_fp_LoS_FPR_at_NLoS_recall_90pct,CP16_single:f_r_fp_LoS_FPR_at_NLoS_recall_95pct,CP16_single:f_l_fp_Recall_at_FPR_1pct,CP16_single:f_l_fp_Recall_at_FPR_5pct,CP16_single:f_l_fp_Recall_at_FPR_10pct,CP16_single:f_l_fp_LoS_FPR_at_NLoS_recall_80pct,CP16_single:f_l_fp_LoS_FPR_at_NLoS_recall_90pct,CP16_single:f_l_fp_LoS_FPR_at_NLoS_recall_95pct,CP16_single:delta_f_l_minus_r_fp_Recall_at_FPR_1pct,CP16_single:delta_f_l_minus_r_fp_Recall_at_FPR_5pct,CP16_single:delta_f_l_minus_r_fp_Recall_at_FPR_10pct,CP16_single:delta_f_l_minus_r_fp_LoS_FPR_at_NLoS_recall_80pct,CP16_single:delta_f_l_minus_r_fp_LoS_FPR_at_NLoS_recall_90pct,CP16_single:delta_f_l_minus_r_fp_LoS_FPR_at_NLoS_recall_95pct,CP16_single:lambda_l_late_fraction_Recall_at_FPR_1pct,CP16_single:lambda_l_late_fraction_Recall_at_FPR_5pct,CP16_single:lambda_l_late_fraction_Recall_at_FPR_10pct,CP16_single:lambda_l_late_fraction_LoS_FPR_at_NLoS_recall_80pct,CP16_single:lambda_l_late_fraction_LoS_FPR_at_NLoS_recall_90pct,CP16_single:lambda_l_late_fraction_LoS_FPR_at_NLoS_recall_95pct,CP16_single:gamma_anchor_linear_Recall_at_FPR_1pct,CP16_single:gamma_anchor_linear_Recall_at_FPR_5pct,CP16_single:gamma_anchor_linear_Recall_at_FPR_10pct,CP16_single:gamma_anchor_linear_LoS_FPR_at_NLoS_recall_80pct,CP16_single:gamma_anchor_linear_LoS_FPR_at_NLoS_recall_90pct,CP16_single:gamma_anchor_linear_LoS_FPR_at_NLoS_recall_95pct,CP16_single:gamma_delay_linear_Recall_at_FPR_1pct,CP16_single:gamma_delay_linear_Recall_at_FPR_5pct,CP16_single:gamma_delay_linear_Recall_at_FPR_10pct,CP16_single:gamma_delay_linear_LoS_FPR_at_NLoS_recall_80pct,CP16_single:gamma_delay_linear_LoS_FPR_at_NLoS_recall_90pct,CP16_single:gamma_delay_linear_LoS_FPR_at_NLoS_recall_95pct,CP16_single:cp_phase_slope_delay_s_Recall_at_FPR_1pct,CP16_single:cp_phase_slope_delay_s_Recall_at_FPR_5pct,CP16_single:cp_phase_slope_delay_s_Recall_at_FPR_10pct,CP16_single:cp_phase_slope_delay_s_LoS_FPR_at_NLoS_recall_80pct,CP16_single:cp_phase_slope_delay_s_LoS_FPR_at_NLoS_recall_90pct,CP16_single:cp_phase_slope_delay_s_LoS_FPR_at_NLoS_recall_95pct,CP16_single:cp_phase_residual_circvar_Recall_at_FPR_1pct,CP16_single:cp_phase_residual_circvar_Recall_at_FPR_5pct,CP16_single:cp_phase_residual_circvar_Recall_at_FPR_10pct,CP16_single:cp_phase_residual_circvar_LoS_FPR_at_NLoS_recall_80pct,CP16_single:cp_phase_residual_circvar_LoS_FPR_at_NLoS_recall_90pct,CP16_single:cp_phase_residual_circvar_LoS_FPR_at_NLoS_recall_95pct
stage1,new_theta0_posz_cp16,ALL,stratified5,CP16_single:cp_phase_residual_circvar,3000,2120,0.4927712264150943,0.699197749537099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013679245283018868,0.03915094339622641,0.09245283018867924,0.7704545454545455,0.8931818181818182,0.9522727272727273
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:xpr_fp_db,900,437,0.5471677597599972,0.6077142977096344,0.15560640732265446,0.18993135011441648,0.2242562929061785,0.7948164146868251,0.9049676025917927,0.958963282937365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:xpr_late_db,900,437,0.6306942584181366,0.6723363494377776,,,,,,,0.17620137299771166,0.2334096109839817,0.2974828375286041,0.6997840172786177,0.8228941684665226,0.8984881209503239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:xpr_all_db,900,437,0.5864054445438416,0.6373934527747986,,,,,,,,,,,,,0.17162471395881007,0.20137299771167047,0.2517162471395881,0.7732181425485961,0.8596112311015118,0.9092872570194385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:s3_fp,900,437,0.5471677597599972,0.6077142977096344,,,,,,,,,,,,,,,,,,,0.15560640732265446,0.18993135011441648,0.2242562929061785,0.7948164146868251,0.9049676025917927,0.958963282937365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:s3_late,900,437,0.6306942584181366,0.6723363494377776,,,,,,,,,,,,,,,,,,,,,,,,,0.17620137299771166,0.2334096109839817,0.2974828375286041,0.6997840172786177,0.8228941684665226,0.8984881209503239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:s3_all,900,437,0.5864054445438416,0.6373934527747986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17162471395881007,0.20137299771167047,0.2517162471395881,0.7732181425485961,0.8596112311015118,0.9092872570194385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:delta_tau_l_given_r_s,900,437,0.5778674548141411,0.5704942810223413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02288329519450801,0.12128146453089245,0.20823798627002288,0.9848812095032398,0.9848812095032398,0.9848812095032398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:delta_p_l_given_r_db,900,437,0.5837760896748397,0.6382728224958838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16933638443935928,0.2128146453089245,0.2608695652173913,0.775377969762419,0.8639308855291576,0.9200863930885529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:f_r_fp,900,437,0.5206864000079078,0.4899867268059672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006864988558352402,0.038901601830663615,0.07551487414187644,0.7624190064794817,0.8660907127429806,0.9438444924406048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:f_l_fp,900,437,0.5913181865359238,0.6066014994221789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13043478260869565,0.15102974828375287,0.17848970251716248,0.6760259179265659,0.8250539956803455,0.8920086393088553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:delta_f_l_minus_r_fp,900,437,0.5527230132802191,0.5689462132629375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036613272311212815,0.14187643020594964,0.18077803203661327,0.7408207343412527,0.857451403887689,0.937365010799136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:lambda_l_late_fraction,900,437,0.6607786251241777,0.6922396309923232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06407322654462243,0.3135011441647597,0.39588100686498856,0.714902807775378,0.8596112311015118,0.937365010799136,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:gamma_anchor_linear,900,437,0.5471677597599972,0.6077142977096344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15560640732265446,0.18993135011441648,0.2242562929061785,0.7948164146868251,0.9049676025917927,0.958963282937365,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:gamma_delay_linear,900,437,0.6098571153209345,0.655400858919254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16475972540045766,0.2334096109839817,0.2814645308924485,0.7473002159827213,0.8423326133909287,0.9222462203023758,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:cp_phase_slope_delay_s,900,437,0.48193801246472356,0.5391386019896213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06178489702517163,0.14416475972540047,0.2128146453089245,0.8056155507559395,0.9092872570194385,0.9568034557235421,,,,,,
stage2,new_theta0_posz_cp16,ALL,fit_all,CP16_single:cp_phase_residual_circvar,900,437,0.5649949834676842,0.5425674351237381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02288329519450801,0.08695652173913043,0.14874141876430205,0.673866090712743,0.7926565874730022,0.8596112311015118
stage2,new_theta0_posz_cp16,room:A,fit_all,CP16_single:xpr_fp_db,300,135,0.5485072951739618,0.4892783961253864,0.0,0.08148148148148149,0.17777777777777778,0.7272727272727273,0.8121212121212121,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,room:A,fit_all,CP16_single:xpr_late_db,300,135,0.5470258136924804,0.5011942444924936,,,,,,,0.037037037037037035,0.06666666666666667,0.14814814814814814,0.7272727272727273,0.7878787878787878,0.8424242424242424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2,new_theta0_posz_cp16,room:A,fit_all,CP16_single:xpr_all_db,300,135,0.4955331088664422,0.4510750422914931,,,,,,,,,,,,,0.022222222222222223,0.037037037037037035,0.1111111111111111,0.7696969696969697,0.806060606060606,0.9151515151515152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
